month,xbox
1,48
2,36
3,36
4,34
5,36
6,40
7,43
8,40
9,43
10,46
11,60
12,64
13,47
14,40
15,36
16,39
17,64
18,48
19,46
20,42
21,41
22,45
23,100
24,82
25,51
26,40
27,39
28,38
29,37
30,39
31,41
32,37
33,34
34,37
35,60
36,66
37,47
38,39
39,39
40,41
41,37
42,40
43,45
44,42
45,47
46,44
47,56
48,68
49,48
50,40
51,38
52,35
53,36
54,37
55,41
56,39
57,39
58,38
59,59
60,64
61,51
62,43
63,41
64,36
65,37
66,50
67,45
68,47
69,41
70,40
71,57
72,62
73,50
74,44
75,41
76,36
77,38
78,52
79,46
80,43
81,41
82,39
83,62
84,67
85,59
86,48
87,42
88,44
89,46
90,51
91,51
92,48
93,43
94,44
95,66
96,73
97,49
98,41
99,39
100,38
101,40
102,49
103,52
104,48
105,42
106,43
107,60
108,65
109,50
110,48
111,47
112,43
113,63
114,72
115,55
116,53
117,51
118,48
119,93
120,90
121,57
122,53
123,54
124,45
125,42
126,51
127,52
128,51
129,46
130,42
131,70
132,90
133,55
134,47
135,44
136,43
137,43
138,59
139,56
140,55
141,45
142,47
143,77
144,85
145,58
146,51
147,47
148,44
149,44
150,58
151,51
152,47
153,43
154,43
155,59
156,72
157,51
158,42
159,41
160,40
161,36
162,51
163,47
164,44
165,40
166,38
167,65
168,72
169,54
170,46
171,51
172,44
173,41
174,49
175,45
176,46
177,43
178,39
179,55
180,60
181,44
182,41
183,37
184,32
185,31
186,42
187,38
188,37
189,35
190,33
191,43
192,59
193,39
194,36
195,51
196,63
197,55
198,54
199,48
200,47
201,57
202,47
203,87
